,yaoonly_lan,yaoonly_wan,lan_optimized_lan,wan_optimized_wan
0,888.9899999999999,1157.0,409.16999999999996,1316.7
1,293.26000000000005,899.9300000000001,320.5,894.5699999999999
2,307.82,825.72,302.03000000000003,852.6700000000001
3,361.83,989.5899999999999,286.84,871.4
4,290.96,884.8000000000001,345.96,878.58
5,253.41000000000003,1050.5,293.19,874.6
6,290.5,858.0600000000001,457.1,842.68
7,250.13000000000002,1048.6,255.2,872.4399999999999
8,314.47,883.49,260.21,845.93
9,257.0,1050.1000000000001,368.65,926.8
10,325.2,846.41,268.8,820.05
11,263.16,992.4,361.98,871.3
12,312.43,875.62,255.73000000000002,821.41
13,262.90999999999997,991.2800000000001,350.6,928.6
14,354.73,823.8,271.43,870.34
15,302.05,987.34,391.99,984.97
16,336.13,830.85,273.05,856.38
17,252.83,931.22,375.69,984.22
18,375.55,857.23,261.12,859.4000000000001
19,264.29999999999995,1051.8000000000002,364.57,984.1600000000001
