,yaohybrid_lan,yaohybrid_wan,lan_optimized_lan,wan_optimized_wan
0,372.69,906.86,238.74,1299.3
1,587.33,880.9,599.99,879.47
2,338.81,849.36,237.84,854.3
3,348.1,858.1600000000001,238.21,855.5899999999999
4,338.34999999999997,848.9,257.84000000000003,847.14
5,309.28,857.6700000000001,239.91000000000003,856.29
6,491.4,840.76,254.58999999999997,850.1
7,349.97,855.9,237.38,856.1800000000001
8,354.32000000000005,845.39,255.29000000000002,847.21
9,249.10999999999999,857.53,239.43,857.1
10,265.23999999999995,835.97,253.14,846.89
11,254.30000000000004,858.21,240.96,855.6
12,249.92000000000002,849.12,272.67,856.88
13,242.66,858.75,249.56,856.41
14,257.21,865.86,254.46,839.61
15,259.35999999999996,857.03,236.92,857.56
16,249.03,856.07,262.1,857.46
17,252.82,858.89,239.79,857.89
18,248.04999999999998,842.61,256.06,852.8599999999999
19,254.06,856.21,239.04,857.29
