,biomatch,kmeans,gcd,histogram,db_merge,db_join2,gauss,mnist,cryptonets
lan_optimized_lan,"[1150.0, 1252.3, 1161.3, 1086.6, 1143.3999999999999, 1214.5, 1104.6000000000001, 1294.1000000000001, 1100.0, 1135.0]",,"[242.44, 242.02, 252.3, 241.13000000000002, 243.56, 244.04999999999998, 240.0, 245.9, 243.92, 241.94]","[864.63, 1390.0, 1413.3, 1243.5, 1381.0, 1148.6000000000001, 1489.3000000000002, 1256.5, 1280.1, 1335.3999999999999]","[571.72, 463.96999999999997, 485.57, 444.09, 444.57, 450.06, 476.21999999999997, 456.77, 502.05999999999995, 462.54]","[1368.2, 1355.9, 1504.6999999999998, 1472.6, 1351.8, 1413.8, 1436.1, 1379.1, 1352.4, 1382.2]","[268.33000000000004, 250.80999999999997, 260.06, 258.61, 260.46999999999997, 264.13, 260.76, 262.2, 263.89, 252.42]",,"[842.96, 869.27, 848.3000000000001, 874.54, 861.65, 870.3199999999999, 838.5899999999999, 866.3100000000001, 912.49, 840.0]"
yaoonly_lan,"[1092.0, 1500.2, 1792.4, 1294.4, 1347.9, 1174.5, 1435.5, 1849.5, 1579.3, 1706.3]",,"[324.7, 386.96000000000004, 347.76, 346.1, 316.47999999999996, 320.85999999999996, 369.15999999999997, 338.01, 325.32, 321.40000000000003]","[873.03, 901.5600000000001, 821.9, 892.38, 867.09, 906.2, 956.92, 836.28, 827.7600000000001, 828.0]","[491.08000000000004, 495.83, 495.92, 501.46000000000004, 492.53999999999996, 498.47999999999996, 502.71999999999997, 489.64000000000004, 495.71999999999997, 500.90000000000003]","[3079.7, 2666.0, 2516.0, 3131.3, 3755.7, 3985.5, 5194.6, 2648.1, 2574.7, 2686.6]","[256.7, 261.40000000000003, 262.17, 265.0, 260.87, 280.32, 254.98, 258.19, 265.22, 260.33]",,
gmwonly_lan,"[1697.2, 1644.0, 1623.0, 1643.5, 1650.7, 1603.1, 1654.9, 1620.1000000000001, 1621.5, 1638.1]",,"[2398.4, 2419.6, 2430.5, 2444.0, 2556.7000000000003, 2446.1, 2490.6000000000004, 2430.0, 2477.7999999999997, 2731.0]","[2622.9, 2745.2999999999997, 2520.9, 3390.2999999999997, 3180.4, 2890.8, 3832.0, 2691.9, 2506.8, 2645.4]","[667.34, 671.28, 662.51, 671.4599999999999, 759.15, 654.58, 658.58, 672.35, 660.74, 650.66]","[4887.900000000001, 4884.0, 4565.0, 4684.700000000001, 4877.0, 5052.2, 4749.2, 5017.400000000001, 4222.1, 4666.1]","[1436.1, 1386.0, 1413.0, 1425.4, 1413.6, 1401.0, 1413.8, 1471.8, 1396.2, 1433.1000000000001]",,
gmwhybrid_wan,"[2737.6, 2662.3, 2707.8, 2757.8999999999996, 2801.2999999999997, 2761.1, 2797.4, 2665.0, 2755.7, 2712.1]","[74467.0, 74426.0, 74618.0, 74857.0, 75092.0, 75472.0, 75597.0, 75209.0, 75140.0, 74602.0]","[458670.0, 458620.0, 458700.0, 458600.0, 458680.0, 458830.0, 458590.0, 458690.0, 458690.0, 458500.0]","[11191.0, 10999.0, 11011.0, 11070.0, 11059.0, 11126.0, 11180.0, 11230.0, 11298.0, 11180.0]","[23335.0, 23178.0, 23102.0, 23231.0, 23101.0, 22868.0, 22890.0, 22879.0, 22863.0, 22806.0]","[19795.0, 19791.0, 19811.0, 19943.0, 19803.0, 20384.0, 19862.0, 19818.0, 19800.0, 19762.0]","[257279.99999999997, 257200.0, 257230.00000000003, 257160.00000000003, 257160.00000000003, 257060.0, 257120.0, 257089.99999999997, 257160.00000000003, 257110.0]",,"[3492.0, 3374.6, 3390.0, 3489.1, 3438.1, 3452.0, 3457.1, 3483.1, 3364.7999999999997, 3422.0]"
wan_optimized_wan,"[2439.1, 2371.3, 2410.7, 2418.2000000000003, 2458.2000000000003, 2409.0, 2368.0, 2371.2, 2370.8, 2558.8]",,"[878.51, 858.94, 859.52, 856.7099999999999, 858.5, 857.99, 857.7, 859.3499999999999, 857.7900000000001, 860.41]","[1723.6, 1881.3, 1934.1, 1664.5, 1761.4, 1981.1000000000001, 1780.8999999999999, 1932.3, 1814.4, 1824.3]","[1351.8, 1377.6, 1328.4, 1326.7, 1331.3999999999999, 1332.4, 1373.3999999999999, 1423.2, 1327.1, 1325.3999999999999]","[2420.2, 2641.7000000000003, 2567.1, 2480.6, 2775.4, 2392.7000000000003, 2417.8, 2957.8, 2350.4, 3848.0]","[887.01, 865.5899999999999, 865.5500000000001, 925.32, 862.9599999999999, 866.18, 865.9200000000001, 865.02, 862.14, 865.26]",,"[2544.2, 2421.8, 2592.5, 2603.9, 2515.6, 2549.4, 2522.1, 2445.5, 2490.3, 2474.0]"
yaohybrid_wan,"[1286.8, 1260.1, 1309.0, 1306.4, 1261.6000000000001, 1354.3, 1351.1, 1260.0, 1200.0, 1258.0]","[5126.9, 5430.799999999999, 5520.1, 5325.2, 5421.8, 5154.0, 5204.0, 5363.8, 5129.400000000001, 5166.5]","[943.77, 909.5699999999999, 870.76, 886.8000000000001, 865.0400000000001, 858.77, 857.3499999999999, 890.0, 889.1099999999999, 898.4100000000001]","[1846.5, 1857.5, 1961.0, 1835.7, 1783.3000000000002, 1770.0, 1854.3, 1737.5, 1778.5, 1829.2]","[1504.3999999999999, 1588.0, 1483.2, 1481.0, 1577.3, 1486.6999999999998, 1486.6999999999998, 1480.0, 1481.4, 1578.0]","[3083.8999999999996, 3250.3, 3230.3, 3121.0, 3507.7, 3271.1, 3436.0, 3163.1, 3330.5, 3646.3999999999996]","[1768.2, 1669.6, 1670.5, 1651.3, 1760.8999999999999, 1664.7, 1656.3000000000002, 1824.0, 1676.9, 1649.6]","[13590.0, 13670.0, 13673.0, 16395.0, 13148.0, 255060.0, 13298.0, 13136.0, 13140.0, 13416.0]","[3354.8, 3521.3, 3437.2, 3449.8, 3401.2, 3463.8, 3417.1, 3417.2, 3346.6, 3427.4]"
yaohybrid_lan,"[421.52, 504.64, 504.53999999999996, 546.84, 565.39, 571.0699999999999, 562.25, 581.78, 580.35, 569.75]","[3230.1000000000004, 3184.0, 3198.4, 3200.0, 3184.5, 3145.2, 3216.0, 3227.1, 3176.8, 3165.0]","[374.34000000000003, 527.96, 325.31, 355.10999999999996, 314.56, 295.71999999999997, 275.21000000000004, 269.76, 272.92, 272.84000000000003]","[924.0, 813.98, 852.4399999999999, 1001.1000000000001, 885.75, 995.4, 1034.3, 883.1999999999999, 830.99, 830.4399999999999]","[442.05, 446.65, 449.48, 443.40000000000003, 440.41, 450.23999999999995, 458.78000000000003, 445.25, 444.46000000000004, 459.15]","[637.8399999999999, 642.76, 635.51, 659.62, 658.54, 639.27, 661.86, 633.12, 639.54, 622.46]","[271.04, 276.12, 280.95, 275.19, 282.42, 271.63, 271.02, 305.0, 299.25, 302.62]","[15314.0, 8018.3, 7783.400000000001, 7776.2, 7649.6, 14314.0, 7726.8, 7833.700000000001, 7731.0, 7691.900000000001]","[1200.0, 1256.3, 35303.0, 1241.0, 1242.3, 2809.2999999999997, 1214.8000000000002, 1208.7, 1202.0, 33309.0]"
gmwonly_wan,"[4463.2, 4463.8, 4384.0, 4404.0, 4312.1, 4427.0, 4405.700000000001, 4482.5, 4499.6, 4431.2]",,"[458750.0, 458830.0, 458860.0, 459050.0, 459120.0, 459260.0, 459000.0, 459200.0, 458920.0, 459000.0]","[11460.0, 11420.0, 11823.0, 11421.0, 11606.0, 11319.0, 11334.0, 11471.0, 11433.0, 11885.0]",,,"[256820.0, 256800.0, 256880.0, 256750.0, 256890.0, 257000.0, 256920.00000000003, 256920.00000000003, 256910.00000000003, 256880.0]",,
yaoonly_wan,"[2513.7, 2455.6, 2312.3999999999996, 2759.0, 2707.8, 2570.3999999999996, 2369.0, 2929.8, 2414.8, 2322.5]",,"[878.41, 855.37, 854.8299999999999, 854.8, 857.14, 855.4300000000001, 856.56, 856.7099999999999, 856.0100000000001, 856.1800000000001]","[1806.4, 1894.2, 2052.4, 1988.5, 1955.1000000000001, 1791.9, 2003.1, 2089.0, 1937.8, 2003.0]",,,"[889.12, 868.19, 868.4300000000001, 866.66, 869.27, 870.39, 869.09, 867.83, 868.42, 869.49]",,
gwmonly_lan,,,,,,,,,
gmwhybrid_lan,,"[3067.0, 3142.2, 2772.3, 2837.7, 2852.7999999999997, 2786.0, 3324.9, 2720.4, 2805.6, 3087.2999999999997]","[1902.9, 1946.3, 2007.1, 1979.2, 1970.0, 1934.0, 1910.4, 1932.3, 2029.0, 1881.5]",,"[680.4, 650.1700000000001, 691.63, 695.57, 654.2, 663.0, 662.13, 696.72, 658.74, 648.5300000000001]","[1322.0, 1235.2, 1163.5, 1249.0, 2186.4, 3864.0, 3643.0, 3606.0, 2699.3, 3312.0]","[1435.5, 1342.0, 1373.0, 1368.7, 1371.2, 1380.5, 1351.1, 1387.3999999999999, 1352.8, 1341.3999999999999]",,"[1180.0, 1206.9, 1192.5, 1184.8000000000002, 1214.3, 1169.5, 1168.6000000000001, 1196.0, 2903.6, 1477.8]"
