,biomatch,kmeans,gcd,histogram,db_merge,db_join2,gauss,mnist,cryptonets
lan_optimized_lan,"[1075.5, 1094.4, 1068.6, 1120.3000000000002, 1324.5, 1134.8, 1189.4, 1122.3000000000002, 2623.0, 3590.0]",,"[329.23999999999995, 250.0, 246.0, 248.95000000000002, 249.9, 254.32, 247.34, 254.34, 249.35, 241.14]","[885.4300000000001, 831.4200000000001, 844.62, 816.43, 822.9100000000001, 813.63, 827.1800000000001, 829.0999999999999, 832.6, 810.0]","[432.11, 451.18, 456.95000000000005, 461.77000000000004, 445.76, 491.05, 436.71999999999997, 481.60999999999996, 458.75, 431.71]","[4695.0, 3625.4, 5902.5, 7254.7, 3540.0, 4534.900000000001, 6614.3, 4298.3, 3937.0, 4032.0]","[319.76, 283.60999999999996, 273.59, 301.59000000000003, 295.59999999999997, 316.25, 300.97, 309.89, 290.52, 264.95000000000005]",,"[893.5999999999999, 928.9699999999999, 858.94, 890.73, 866.0, 859.26, 822.32, 825.78, 849.21, 855.0799999999999]"
yaoonly_lan,"[1115.8, 1061.1999999999998, 1055.6000000000001, 1052.2, 1063.9, 1077.2, 1078.8999999999999, 1050.8999999999999, 1099.6, 1048.1000000000001]",,"[410.58, 343.16999999999996, 317.91999999999996, 323.33, 299.65999999999997, 324.64, 326.17, 311.81, 328.02, 321.91999999999996]","[807.5, 814.13, 831.5, 800.3900000000001, 830.68, 797.6600000000001, 819.4200000000001, 849.57, 873.21, 875.41]","[1089.3999999999999, 610.26, 654.6899999999999, 606.15, 630.61, 629.3100000000001, 586.53, 587.48, 671.44, 641.12]","[1309.0, 1289.9, 1320.1000000000001, 1345.0, 1342.9, 1416.7, 1391.1, 1277.8, 1297.6000000000001, 1274.4]","[345.07, 339.34, 327.29, 345.77000000000004, 339.87, 359.88, 317.78000000000003, 357.48999999999995, 319.16, 369.8]",,
gmwonly_lan,"[3653.0, 2841.7, 2114.1, 2646.3999999999996, 2656.2999999999997, 2884.0, 2781.2000000000003, 3079.1, 2250.0, 2831.2]",,"[2501.3, 2410.1, 2423.0, 2444.0, 2580.9, 2473.5, 2519.5, 2449.0, 2473.5, 2765.0]","[2156.8, 2124.2000000000003, 2167.3, 2169.6, 2083.8999999999996, 2105.0, 2204.0, 2251.2, 2250.7999999999997, 3291.0]","[757.6, 743.7, 733.61, 794.32, 665.76, 760.0, 740.1600000000001, 788.79, 751.21, 775.4]","[3102.3999999999996, 3107.0, 3216.8, 3121.7000000000003, 3130.2, 3131.0, 2998.6000000000004, 3110.0, 3036.6, 3107.2000000000003]","[1474.0, 1459.7, 1460.5, 1463.4, 1422.1999999999998, 1455.8, 1449.8999999999999, 1492.6, 1446.0, 1471.2]",,
gmwhybrid_wan,"[3280.2, 2714.0, 2776.7, 2827.3, 2875.7999999999997, 2812.0, 2861.4, 2738.0, 2848.7, 2806.5]","[74670.0, 74377.0, 74553.0, 74545.0, 74433.0, 74494.0, 74523.0, 74408.0, 74439.0, 74763.0]","[459100.0, 458500.0, 458710.0, 458670.0, 458690.0, 458850.0, 458580.0, 458700.0, 458640.0, 458490.0]","[11622.0, 10839.0, 11062.0, 10668.0, 10931.0, 10890.0, 11582.0, 11481.0, 11013.0, 10882.0]","[23753.0, 23240.0, 23244.0, 23235.0, 23156.0, 22969.0, 22924.0, 22845.0, 22979.0, 22925.0]","[19800.0, 20241.0, 20154.0, 19747.0, 19900.0, 19767.0, 20174.0, 19812.0, 19819.0, 19917.0]","[257700.0, 257279.99999999997, 257320.0, 257230.00000000003, 257190.0, 257079.99999999997, 257089.99999999997, 257100.00000000003, 257230.00000000003, 257209.99999999997]",,"[11020.0, 14310.0, 8060.000000000001, 20008.0, 27026.0, 24175.0, 13199.0, 23627.0, 13612.0, 7775.9]"
wan_optimized_wan,"[3600.0, 3811.7000000000003, 4493.5, 4428.099999999999, 4320.400000000001, 4405.599999999999, 3906.2999999999997, 4029.4999999999995, 4095.3999999999996, 4923.0]",,"[1276.0, 863.3, 854.25, 859.11, 850.02, 848.49, 848.0, 849.0999999999999, 851.1999999999999, 828.5]","[2025.0, 1729.4, 1714.6, 1621.5, 1722.5, 1782.6, 1624.9, 1713.4, 1721.0, 1680.0]","[1901.2, 1592.0, 1498.3, 1509.3000000000002, 1634.3000000000002, 1599.0, 1490.8, 1585.3999999999999, 1462.3999999999999, 1519.5]","[2582.3, 2298.6, 2334.0, 2395.0, 2326.4, 2437.0, 2731.0, 2324.3999999999996, 3077.7999999999997, 2340.0]","[1227.5, 826.0699999999999, 842.99, 861.78, 833.9, 840.89, 854.7, 820.67, 819.89, 837.54]",,"[2865.8, 2434.8999999999996, 2685.4, 2758.0, 2501.3, 2623.8, 2655.9, 2489.3999999999996, 2513.7, 2532.1]"
yaohybrid_wan,"[1823.8000000000002, 1278.0, 1326.2, 1326.3, 1249.8, 1312.7, 1457.8999999999999, 1277.9, 1275.0, 1250.6]","[5292.5, 4617.7, 4630.7, 4647.5, 4696.2, 5655.8, 5578.9, 6404.200000000001, 5410.0, 5504.1]","[1542.5, 976.63, 973.0600000000001, 981.3100000000001, 906.83, 921.0899999999999, 910.84, 964.97, 1118.0, 1037.7]","[2143.9, 1643.0, 1723.9, 1861.2, 1741.8, 1844.8, 1682.0, 1773.7, 1738.8999999999999, 1830.5]","[2394.8999999999996, 2287.5, 1487.6000000000001, 1580.8999999999999, 1661.8, 1541.3, 1633.6, 1636.5, 1615.1, 1658.8]","[2126.0, 2338.0, 2189.2999999999997, 2140.0, 2225.7, 2268.7, 2318.2, 2261.8, 2237.6, 2223.0]","[1637.6, 1723.0, 1884.9, 1649.1, 1750.2, 1861.9, 1724.3, 2127.3, 2182.5, 1684.1]","[30533.0, 50012.0, 13312.0, 13920.0, 55917.0, 12965.0, 19856.0, 21988.0, 32750.999999999996, 44682.0]","[14587.0, 5987.9, 5810.4, 5133.4, 5947.4, 8224.199999999999, 26020.0, 15320.0, 5217.4, 4770.1]"
yaohybrid_lan,"[279.74, 282.88, 282.34999999999997, 277.18, 280.02, 275.34999999999997, 277.21000000000004, 285.2, 279.4, 281.84999999999997]","[4753.7, 4227.599999999999, 3940.9, 4559.3, 4771.3, 4759.599999999999, 4772.2, 4536.8, 4221.5, 3923.9]","[510.64, 451.23, 474.97, 547.64, 494.58000000000004, 314.71, 277.19, 285.95, 286.08, 292.56]","[806.11, 817.2, 809.62, 822.1500000000001, 803.8199999999999, 810.83, 802.0, 797.69, 816.3000000000001, 852.6]","[603.0, 635.22, 640.0, 635.2900000000001, 730.92, 654.42, 688.1, 666.88, 699.86, 667.46]","[3396.6, 3339.0, 3687.1, 3694.9, 3615.4, 3397.3, 3299.9, 3283.6, 2943.6, 2506.9]","[348.2, 314.41999999999996, 323.09, 369.45, 358.12, 298.89, 285.49, 359.92, 364.11, 370.71999999999997]","[7040.0, 307200.0, 170970.0, 39770.0, 63689.0, 7048.0, 64428.0, 66152.0, 89832.0, 61922.0]","[1711.3, 18273.0, 1182.0, 4927.7, 11731.0, 1151.3, 2222.0, 4115.1, 1380.2, 1171.5]"
gmwonly_wan,"[5574.900000000001, 5226.8, 5196.0, 4997.200000000001, 4658.2, 4601.4, 4977.5, 5851.0, 5473.900000000001, 5434.0]",,"[459200.0, 458880.0, 458840.0, 459020.0, 459110.0, 459190.0, 459030.0, 459100.0, 458890.0, 459010.0]","[12085.0, 11340.0, 11133.0, 11345.0, 11040.0, 11320.0, 11580.0, 11079.0, 11886.0, 11020.0]",,,"[257339.99999999997, 256660.00000000003, 256670.00000000003, 256660.00000000003, 256740.0, 256790.00000000003, 256649.99999999997, 256720.00000000003, 256709.99999999997, 256769.99999999997]",,
yaoonly_wan,"[3133.9, 2841.0, 2387.7000000000003, 2471.0, 2259.1, 2274.3, 2373.4, 2362.5, 2399.4, 2306.6]",,"[1356.7, 874.75, 864.17, 873.76, 855.0400000000001, 860.75, 861.22, 866.73, 862.99, 866.72]","[2091.0, 1597.9, 1749.4, 1750.2, 1626.6000000000001, 1630.6000000000001, 1659.0, 1781.6000000000001, 1646.1, 1641.8999999999999]",,,"[1380.5, 866.3100000000001, 878.1099999999999, 853.21, 852.68, 866.48, 862.9, 861.2800000000001, 848.73, 845.16]",,
gmwhybrid_lan,,"[2660.0, 2666.9, 3080.7000000000003, 3176.8999999999996, 4362.0, 3200.0, 2773.0, 2776.6000000000004, 2660.2000000000003, 2739.9]","[1986.0, 1947.8, 2003.4999999999998, 1980.1, 1980.3, 1947.8999999999999, 1912.3000000000002, 1937.5, 2020.0, 1862.4]",,"[751.79, 871.6800000000001, 954.5, 889.1, 932.5, 819.4, 853.53, 992.3100000000001, 966.48, 897.0]","[763.8000000000001, 758.75, 754.4499999999999, 760.17, 822.73, 838.46, 839.54, 801.2, 785.64, 840.6]","[1288.2, 1303.3999999999999, 1328.6, 1289.1999999999998, 1316.0, 1326.4, 1319.3999999999999, 1325.3, 1292.8, 1277.3000000000002]",,"[2890.2999999999997, 2822.0, 2696.6, 2272.2000000000003, 2333.2000000000003, 1906.5, 2667.7, 2474.9, 1293.0, 1157.6]"
