,biomatch,kmeans,gcd,histogram,db_merge,db_join2,gauss,mnist,cryptonets
gmwonly_wan,"[5004.0, 4511.0, 4349.9, 4370.599999999999, 4413.0, 4805.900000000001, 4327.7, 4883.5, 4434.3, 4610.400000000001, 4419.400000000001, 4667.3, 4377.7, 4368.0, 5135.799999999999, 4363.7, 4495.0, 4737.099999999999, 4387.2, 4502.7]","[94544.0, 121700.0, 95024.0, 142310.0, 94056.0, 116400.0, 94735.0, 127810.0, 95043.0, 129680.0, 93917.0, 118580.0, 94504.0, 113470.0, 93740.0, 106300.0, 94199.0, 102790.0, 94231.0, 101930.0]","[459620.0, 459720.0, 459000.0, 459030.0, 458920.0, 458940.0, 458870.0, 458970.0, 458900.0, 458870.0, 459020.0, 459100.0, 458930.0, 458880.0, 458910.0, 458910.0, 458900.0, 458930.0, 458910.0, 458890.0]","[11129.0, 11708.0, 11130.0, 11550.0, 11023.0, 11888.0, 10953.0, 11462.0, 10960.0, 11537.0, 11041.0, 11536.0, 10881.0, 11198.0, 10983.0, 11773.0, 11469.0, 11206.0, 10863.0, 12105.0]","[24000.0, 24045.0, 24140.0, 24541.0, 24041.0, 24432.0, 24119.0, 24371.0, 24064.0, 24338.0, 24100.0, 24416.0, 24158.0, 24395.0, 24133.0, 24417.0, 24027.0, 24360.0, 24130.0, 24399.0]","[23861.0, 30553.0, 23907.0, 31214.0, 23764.0, 31239.0, 23710.0, 31047.0, 23816.0, 31221.0, 23710.0, 31224.0, 23785.0, 30670.0, 23810.0, 31017.0, 23700.0, 30660.0, 23750.0, 31144.0]","[256950.0, 256670.00000000003, 256690.0, 256850.00000000003, 256620.0, 256690.0, 256589.99999999997, 256600.00000000003, 256649.99999999997, 256769.99999999997, 256680.0, 256649.99999999997, 256670.00000000003, 256790.00000000003, 256690.0, 256800.0, 256800.0, 256860.0, 256000.0, 256690.0]",,
lan_optimized_lan,"[1313.3999999999999, 1102.5, 1079.2, 1670.4, 1173.0, 1142.2, 1068.8, 1644.0, 1082.5, 1679.8999999999999, 1075.0, 1416.4, 1068.4, 1512.8999999999999, 1073.8000000000002, 1305.9, 1129.6999999999998, 1678.7, 1137.5, 1535.5]",[],"[238.74, 599.99, 237.84, 238.21, 257.84000000000003, 239.91000000000003, 254.58999999999997, 237.38, 255.29000000000002, 239.43, 253.14, 240.96, 272.67, 249.56, 254.46, 236.92, 262.1, 239.79, 256.06, 239.04]","[798.96, 1066.0, 831.45, 933.61, 803.47, 940.1800000000001, 804.86, 940.26, 813.38, 841.23, 839.73, 837.3699999999999, 816.5799999999999, 947.0, 812.1899999999999, 852.4399999999999, 814.12, 996.54, 812.6999999999999, 852.11]","[680.8100000000001, 458.33000000000004, 441.85, 459.72, 452.6, 457.28999999999996, 478.03000000000003, 475.56, 443.09999999999997, 527.01, 527.2, 454.86, 479.58, 454.27, 498.09999999999997, 451.46999999999997, 460.54, 599.3100000000001, 439.78000000000003, 470.58]","[1390.3000000000002, 4732.700000000001, 1464.2, 6511.9, 1362.8, 6351.5, 1376.8, 6378.0, 1398.5, 5356.099999999999, 1409.1, 5394.599999999999, 1445.0, 6713.7, 1436.6000000000001, 6931.5, 1456.7, 6801.1, 1387.8999999999999, 6365.8]","[409.16999999999996, 320.5, 302.03000000000003, 286.84, 345.96, 293.19, 457.1, 255.2, 260.21, 368.65, 268.8, 361.98, 255.73000000000002, 350.6, 271.43, 391.99, 273.05, 375.69, 261.12, 364.57]",,"[902.97, 1524.0, 883.77, 1558.0, 890.0400000000001, 1640.2, 893.62, 1668.1, 894.0, 1637.7, 883.3299999999999, 1638.4, 896.2, 1606.3, 898.4100000000001, 1629.5, 904.32, 1626.1000000000001, 917.79, 1677.5]"
yaoonly_lan,"[1535.0, 1097.1, 1195.2, 1117.3999999999999, 1236.0, 1098.9, 1346.4, 1119.6, 1302.7, 1090.7, 1122.8, 1123.1, 1101.9, 1505.7, 1097.6, 1201.2, 1206.2, 1093.1, 1073.5, 1201.8999999999999]",[],"[332.78000000000003, 462.33000000000004, 303.0, 363.42999999999995, 293.13, 283.47, 285.07, 303.77, 330.82, 356.59999999999997, 320.23, 316.5, 323.83, 346.7, 285.34999999999997, 285.91, 368.94, 321.6, 364.92999999999995, 317.72]","[807.62, 1278.2, 826.2, 860.0100000000001, 830.33, 1334.4, 826.6, 1205.7, 807.5799999999999, 1060.5, 809.36, 1034.7, 873.28, 1138.0, 837.93, 1238.6999999999998, 808.24, 1119.3999999999999, 816.79, 975.26]","[780.36, 505.29999999999995, 506.96, 505.97999999999996, 511.54999999999995, 553.1, 539.42, 496.2, 490.28, 541.8, 527.0200000000001, 516.61, 493.61, 501.85999999999996, 544.5, 505.49999999999994, 580.65, 505.85999999999996, 492.86, 539.0899999999999]","[4954.5, 1368.7, 4475.0, 1349.6, 4243.0, 1358.0, 4550.099999999999, 1366.8, 4835.4, 1380.1000000000001, 4446.2, 1364.8, 3839.0, 1331.1, 5264.2, 1376.3000000000002, 5235.400000000001, 1349.9, 4988.900000000001, 1390.2]","[888.9899999999999, 293.26000000000005, 307.82, 361.83, 290.96, 253.41000000000003, 290.5, 250.13000000000002, 314.47, 257.0, 325.2, 263.16, 312.43, 262.90999999999997, 354.73, 302.05, 336.13, 252.83, 375.55, 264.29999999999995]",,
gmwonly_lan,[],"[25070.0, 18818.0, 26918.0, 18540.0, 25896.0, 19095.0, 29328.0, 18782.0, 29352.0, 18847.0, 29911.0, 18613.0, 31764.0, 19035.0, 29136.0, 18596.0, 29513.0, 18474.0, 23715.0, 18648.0]","[1955.5, 2259.7, 1963.4, 2008.0, 1985.6000000000001, 2006.2000000000003, 1939.1000000000001, 1966.5, 1993.1000000000001, 2021.3000000000002, 1981.7, 1995.3000000000002, 1918.9, 1926.1999999999998, 1975.0, 1992.0, 1961.3, 1970.6999999999998, 1956.9, 1969.4]","[2408.9, 2988.3, 2331.4, 3286.4, 2325.8, 2982.6000000000004, 2747.6, 2751.5, 2394.8, 3345.2000000000003, 3006.5, 2712.5, 2576.7000000000003, 2766.2, 3380.5, 2740.1, 3233.1, 2831.1000000000004, 2331.0, 3393.0]","[687.59, 1013.2, 682.2, 717.9, 883.7, 685.2700000000001, 799.76, 707.53, 915.7800000000001, 688.51, 774.61, 706.14, 798.64, 717.6, 761.21, 709.94, 914.28, 678.32, 789.39, 701.26]","[3531.6, 4998.5, 3648.5, 6653.3, 3588.0, 4663.599999999999, 3570.5, 5308.2, 3463.9, 4949.3, 3712.6, 4818.4, 3581.7999999999997, 4836.599999999999, 3581.9, 5184.5, 3575.8, 4944.099999999999, 3648.0, 5269.599999999999]","[2505.2, 1812.2, 1796.8, 1781.7, 1792.0, 1674.9, 1804.3, 1736.6, 1806.5, 1680.1999999999998, 1723.2, 1645.1, 1759.3000000000002, 1656.8, 1795.8, 1683.0, 1538.6, 1402.8, 1546.0, 1423.4]",,
wan_optimized_wan,"[3240.7, 2342.1, 3255.3999999999996, 2471.8, 4042.0999999999995, 2417.9, 3935.0, 2462.2999999999997, 3909.8, 2365.0, 3883.2, 2411.6, 4059.5999999999995, 2316.3, 4197.0, 2422.2999999999997, 4288.5, 2323.5, 4631.0, 2377.0]",[],"[1299.3, 879.47, 854.3, 855.5899999999999, 847.14, 856.29, 850.1, 856.1800000000001, 847.21, 857.1, 846.89, 855.6, 856.88, 856.41, 839.61, 857.56, 857.46, 857.89, 852.8599999999999, 857.29]","[2338.0, 1787.5, 1638.1, 1781.0, 1710.6, 1759.9, 1614.4, 1722.3, 1595.5, 1739.4, 1627.6999999999998, 1662.4, 1698.1, 1762.5, 1601.3, 1722.6, 1617.3999999999999, 1725.7, 1599.1, 1783.0]","[1416.6000000000001, 1375.6, 1322.2, 1414.7, 1336.0, 1666.1, 1380.9, 1689.0, 1335.7, 1547.6000000000001, 1312.8, 1540.1000000000001, 1334.0, 1608.3, 1405.6, 1598.3, 1336.6, 1538.8999999999999, 1302.7, 1601.0]","[3175.6000000000004, 2370.6, 2422.2999999999997, 3105.7999999999997, 2748.4, 2411.0, 2332.8, 3086.0, 2390.0, 2823.9, 2390.0, 3276.4, 2326.2, 2433.8, 2602.7, 2371.6, 2374.2999999999997, 3056.1, 2305.2999999999997, 2680.5]","[1316.7, 894.5699999999999, 852.6700000000001, 871.4, 878.58, 874.6, 842.68, 872.4399999999999, 845.93, 926.8, 820.05, 871.3, 821.41, 928.6, 870.34, 984.97, 856.38, 984.22, 859.4000000000001, 984.1600000000001]",,"[2992.2, 2474.8, 2541.0, 2515.8, 2413.6000000000004, 2419.2, 2417.8, 2463.2000000000003, 2452.0, 2399.0, 2556.7000000000003, 2541.6, 2535.2000000000003, 2552.0, 2563.8999999999996, 2562.3999999999996, 2510.9, 2510.7, 2458.7, 2422.2999999999997]"
yaoonly_wan,"[2371.7999999999997, 2382.4, 2867.3, 2663.6000000000004, 2425.2, 2730.6, 2449.7, 2662.6, 2476.9, 2418.2000000000003, 2354.5, 2630.7999999999997, 2354.2000000000003, 3453.3999999999996, 2377.4, 3712.1, 2437.5, 3508.1000000000004, 2554.9, 2523.8]",[],"[826.2, 889.0400000000001, 916.92, 909.54, 873.5, 856.5500000000001, 859.2800000000001, 854.84, 847.81, 853.93, 863.62, 855.36, 864.87, 855.05, 858.22, 853.1300000000001, 865.42, 855.8599999999999, 856.6, 855.25]","[1813.7, 1712.6, 1635.3999999999999, 1783.1, 1920.7, 2117.6, 1730.6, 1987.1000000000001, 1629.0, 1779.0, 1650.6000000000001, 1827.0, 1773.9, 2039.4, 1720.1, 1763.3000000000002, 1618.6000000000001, 1836.0, 1721.8, 1813.0]","[1565.7, 1341.6999999999998, 1440.7, 1327.0, 1419.8999999999999, 1551.7, 1560.8999999999999, 1414.9, 1363.3, 1339.3999999999999, 1299.1, 1575.1, 1533.1999999999998, 1370.5, 1541.9, 1424.5, 1330.8999999999999, 1325.0, 1393.6, 1595.2]","[2397.2000000000003, 3398.5, 2339.0, 3900.7000000000003, 2377.6000000000004, 4427.1, 2335.0, 3648.8, 2337.7, 4384.1, 2338.2999999999997, 4346.8, 2382.0, 5112.4, 2381.8, 5446.1, 2351.7999999999997, 4383.0, 2371.1000000000004, 4545.099999999999]","[1157.0, 899.9300000000001, 825.72, 989.5899999999999, 884.8000000000001, 1050.5, 858.0600000000001, 1048.6, 883.49, 1050.1000000000001, 846.41, 992.4, 875.62, 991.2800000000001, 823.8, 987.34, 830.85, 931.22, 857.23, 1051.8000000000002]",,
yaohybrid_wan,"[2087.4, 1413.1, 1370.9, 1264.6, 1405.8999999999999, 1313.0, 1529.7, 1406.3000000000002, 1513.3000000000002, 1317.1999999999998, 1393.3, 1265.5, 1417.0, 1311.1999999999998, 1330.4, 1218.3, 1320.3, 1217.6, 1470.1, 1361.3999999999999]","[4634.299999999999, 5801.1, 4672.3, 6275.5, 4733.799999999999, 6419.0, 4721.0, 6509.0, 4614.9, 6659.6, 4489.3, 6261.099999999999, 4909.0, 6410.0, 4563.0, 5911.900000000001, 4750.8, 6681.4, 4474.0, 6073.8]","[906.86, 880.9, 849.36, 858.1600000000001, 848.9, 857.6700000000001, 840.76, 855.9, 845.39, 857.53, 835.97, 858.21, 849.12, 858.75, 865.86, 857.03, 856.07, 858.89, 842.61, 856.21]","[1758.5, 1816.6, 1601.8, 1957.8, 1733.6000000000001, 1979.0, 1607.9, 1957.5, 1786.3, 2154.2, 1707.8999999999999, 1935.0, 1698.1, 1890.1, 1746.2, 2100.9, 1699.8999999999999, 1828.1000000000001, 1862.9, 1804.8]",[],"[2285.2000000000003, 3553.5, 2185.1, 3799.9, 2344.3999999999996, 4204.7, 2222.9, 4061.3, 2139.0, 3894.2000000000003, 2266.7000000000003, 4232.0, 2286.1, 4175.099999999999, 2182.2, 3966.0, 2332.8, 4405.0, 2250.7999999999997, 4112.599999999999]",[],"[12613.0, 10006.0, 13421.0, 9814.3, 12570.0, 10411.0, 10040.0, 11744.0, 10388.0, 10434.0, 9659.599999999999, 10147.0, 10416.0, 13557.0, 10134.0, 10342.0, 13220.0, 10227.0, 13888.0, 9922.0]","[2720.0, 2453.3, 2530.5, 2866.0, 2456.1000000000004, 2726.6, 2556.0, 2752.3, 2648.0, 2852.0, 2522.3, 2757.4, 2538.6000000000004, 2875.4, 2649.0, 3022.8, 2565.4, 2749.0, 2473.8, 2786.4]"
gmwhybrid_lan,"[869.8000000000001, 294.27, 292.29, 311.3, 294.81, 289.82000000000005, 289.0, 291.66999999999996, 287.42, 287.38000000000005, 302.53000000000003, 288.27000000000004, 305.15999999999997, 289.21000000000004, 295.08, 304.13, 287.85, 311.64, 292.19, 329.34000000000003]","[2786.3, 3703.5, 2829.4, 3823.0, 2739.1, 3563.4, 2791.0, 3883.5, 2784.2, 4101.099999999999, 2873.3, 4173.6, 2928.9, 3732.0, 2831.1000000000004, 3641.4, 2726.3, 3934.6, 2729.7, 3511.8999999999996]","[2868.9, 3259.3, 2208.8, 2245.8999999999996, 2225.2999999999997, 2207.6, 2199.0, 2189.2999999999997, 2200.0, 2193.1, 2197.5, 2184.4, 2145.5, 2137.5, 2204.0, 2207.2, 2182.4, 2173.6, 2255.5, 2239.3999999999996]","[2822.7000000000003, 2601.6, 3911.0, 2557.9, 3105.3, 2600.0, 2229.7, 2820.0, 3237.8999999999996, 2638.0, 2585.7999999999997, 2699.3999999999996, 3065.4, 2561.4, 2229.0, 3053.2, 2992.4, 2670.0, 3108.6, 2706.3]",[],"[1522.8, 787.35, 769.13, 1537.7, 773.49, 1583.1, 827.9, 1590.5, 822.1, 2230.3, 779.9000000000001, 1480.9, 776.91, 1407.1, 773.13, 1373.0, 765.93, 825.6099999999999, 804.9, 988.82]",[],"[8038.0, 18037.0, 7917.5, 17464.0, 7993.5, 18676.0, 7960.7, 19714.0, 8028.1, 17260.0, 8113.5, 17383.0, 8066.000000000001, 17731.0, 8052.300000000001, 19710.0, 7928.8, 16373.999999999998, 8101.1, 18549.0]","[854.1, 871.22, 852.0, 931.5400000000001, 847.81, 966.62, 864.2800000000001, 900.97, 862.03, 980.92, 833.35, 977.51, 832.12, 931.8, 832.11, 945.64, 863.4699999999999, 951.4, 866.64, 972.21]"
yaohybrid_lan,"[432.09999999999997, 274.1, 400.33000000000004, 276.82, 402.19, 273.76, 418.08, 277.3, 431.06, 280.7, 409.93, 283.59000000000003, 432.09, 275.68, 416.64, 275.81, 405.81, 277.28999999999996, 408.03000000000003, 274.02]","[9505.2, 3545.3, 9769.8, 3421.4, 9146.1, 3454.4, 9302.5, 3437.0, 9577.0, 3467.7, 9575.4, 3447.2999999999997, 9484.0, 3446.1, 9649.1, 3519.1, 9069.1, 3476.7000000000003, 8967.7, 3426.0]","[372.69, 587.33, 338.81, 348.1, 338.34999999999997, 309.28, 491.4, 349.97, 354.32000000000005, 249.10999999999999, 265.23999999999995, 254.30000000000004, 249.92000000000002, 242.66, 257.21, 259.35999999999996, 249.03, 252.82, 248.04999999999998, 254.06]","[1009.1000000000001, 829.31, 819.0, 945.8299999999999, 825.5400000000001, 1151.0, 824.26, 869.37, 833.2, 1220.0, 804.49, 1189.2, 805.91, 1218.3999999999999, 824.97, 1054.0, 802.79, 1144.9, 816.5, 1257.9]",[],"[1822.3, 627.8399999999999, 1262.7, 637.5300000000001, 1074.1000000000001, 647.1, 1072.0, 632.44, 1444.8000000000002, 634.28, 1544.1000000000001, 654.06, 1283.6000000000001, 630.89, 1441.0, 629.5600000000001, 1365.1, 643.46, 1423.8, 635.71]",[],"[5644.0, 6743.0, 5700.400000000001, 5974.0, 5695.9, 5879.5, 5877.0, 5665.4, 6572.2, 5766.7, 6273.7, 5718.4, 5750.3, 6445.400000000001, 5672.6, 6284.7, 5778.7, 5707.4, 5851.7, 6466.1]","[881.5300000000001, 1132.0, 844.99, 1167.4, 879.64, 1219.0, 849.13, 1137.7, 848.7900000000001, 1193.3, 882.2299999999999, 1235.4, 851.85, 1122.0, 872.62, 1152.0, 855.87, 1166.7, 876.9, 1135.1]"
gmwhybrid_wan,,[],"[459480.0, 459330.0, 459220.0, 459170.0, 459030.0, 458980.0, 458910.0, 458890.0, 459210.0, 459140.0, 458900.0, 458920.0, 458950.0, 458900.0, 459150.0, 459150.0, 459110.0, 459000.0, 459070.0, 459020.0]",,[],"[20620.0, 19849.0, 20186.0, 19790.0, 20241.0, 19834.0, 20166.0, 19829.0, 20290.0, 19891.0, 20061.0, 19770.0, 20175.0, 19842.0, 20084.0, 19848.0, 20156.0, 19776.0, 20385.0, 19917.0]",[],"[15168.0, 13463.0, 15553.0, 13112.0, 15740.0, 13038.0, 14143.0, 12680.0, 16685.0, 13250.0, 16280.999999999998, 12835.0, 16143.0, 13456.0, 15970.0, 12945.0, 16120.000000000002, 13083.0, 14900.0, 12883.0]","[2531.0, 2501.6, 2356.2, 2735.6, 2454.8999999999996, 2722.4, 2442.0, 2702.6, 2464.7999999999997, 2766.6, 2521.5, 2654.1, 2499.6, 2753.8, 2487.2999999999997, 2745.5, 2438.0, 2655.5, 2593.2, 2970.8]"
