,TEST,SELECTION_SCHEME,COST_MODEL,PARTITION_SIZE,MUTATION_LEVEL,MUTATION_STEP_SIZE,GRAPH_TYPE,Frontend,Optimizations,NUM_PARTS,assignment_time,Lowering,Compile,Total_time,Total_memory,assignment_cost
0,biomatch,css,hycc,3000,4,2,KaHyPar,0.024740116,0.08141306400000001,1,0.733112535,0.801515245,0.907694033,[0.92],[0.35792],
1,biomatch,smart_lp,hycc,5000,1,2,KaHyPar,0.024627907,0.081182954,1,1.321460219,1.334918422,1.440749795,[1.45],[0.268584],
2,biomatch,smart_lp,hycc,5000,4,1,KaHyPar,0.024848966,0.08456649299999999,1,1.340277948,1.357197773,1.466636617,[1.48],[0.268164],
3,biomatch,css,hycc,3000,2,2,KaHyPar,0.025090198999999997,0.082146796,1,0.743351069,0.811221647,0.9184809279999999,[0.93],[0.357784],
4,biomatch,smart_lp,hycc,3000,1,2,KaHyPar,0.025235029,0.08168426300000001,2,0.488859805,0.502946648,0.609885507,[0.61],[0.26396],"[529.1469250000083, 511.83483500000966]"
5,biomatch,css,hycc,1000,2,1,KaHyPar,0.027681308999999998,0.085680335,1,0.687598392,0.758096796,0.871484012,[0.88],[0.419652],"[0.0, 0.0, 218.18473500000084, 218.18473500000084, 0.7570049999999999, 0.7570049999999999, 0.698445, 0.50467, 0.698445, 0.50467]"
6,biomatch,css,hycc,5000,1,1,KaHyPar,0.024921636,0.083123495,1,0.7476912099999999,0.815466597,0.9235381509999999,[0.93],[0.356616],
7,biomatch,smart_lp,hycc,3000,4,1,KaHyPar,0.024681598000000003,0.079955181,2,6.581481234,6.596389689,6.701046912,[6.71],[0.859864],"[511.83483500000966, 529.1469250000083, 529.1469250000083, 511.83483500000966, 511.83483500000966, 529.1469250000083, 511.83483500000966, 529.1469250000083]"
8,biomatch,smart_lp,hycc,1000,1,1,KaHyPar,0.024991738000000003,0.08091651899999999,5,0.757040567,0.771352017,0.8772854,[0.88],[0.25598],"[206.17996999999784, 203.06441499999812, 206.5660249999979, 199.80413499999796, 225.36721499999737]"
9,biomatch,css,hycc,5000,4,4,KaHyPar,0.024782635,0.081384052,1,0.74626634,0.813924114,0.920115236,[0.93],[0.356836],
10,biomatch,css,hycc,5000,1,4,KaHyPar,0.025495498000000002,0.084552154,1,0.769599598,0.836946423,0.947017628,[0.96],[0.356784],
11,biomatch,css,hycc,5000,4,1,KaHyPar,0.024902116,0.082378014,1,0.737802475,0.8054632340000001,0.912771962,[0.92],[0.356748],
12,biomatch,css,hycc,5000,4,2,KaHyPar,0.02461879,0.08034752,1,0.7331428409999999,0.800018477,0.9050120269999999,[0.92],[0.35778],
13,biomatch,css,hycc,5000,2,2,KaHyPar,0.024841072,0.080894452,1,0.736527201,0.8037535960000001,0.90951468,[0.92],[0.357956],
14,biomatch,css,hycc,3000,2,1,KaHyPar,0.026084238,0.086281623,1,0.7416994889999999,0.808974349,0.9213646099999999,[0.93],[0.357888],
15,biomatch,css,hycc,3000,1,2,KaHyPar,0.025312905,0.082269239,1,0.738162133,0.805785736,0.913392534,[0.92],[0.356596],
16,biomatch,smart_lp,hycc,1000,1,2,KaHyPar,0.024799625,0.08049577100000001,5,0.761067584,0.7758361730000001,0.881154608,[0.88],[0.255312],"[206.17996999999784, 203.06441499999812, 206.5660249999979, 199.80413499999796, 225.36721499999737]"
17,biomatch,css,hycc,3000,1,4,KaHyPar,0.02499898,0.08347953699999999,1,0.753022391,0.828521744,0.937035297,[0.95],[0.356752],
18,biomatch,smart_lp,hycc,5000,4,2,KaHyPar,0.024868286,0.084637979,1,1.323475354,1.337050266,1.446577742,[1.45],[0.26858],
