,TEST,SELECTION_SCHEME,MINIMIZATION_TIME,COST_MODEL,ARGUMENTS,MISSING,RERUN,Client load time,Server load time,Total number of gates,Total depth,Total Time,Init Time,CircuitGen Time,Network Time,BaseOTs Time,Setup Time,OTExtension Time,Garbling Time,Online Time,Client exec time,Server exec time,Total_time,Total_memory,ERROR
0,biomatch,yaoonly,0,hycc,"[""--all-variants'"", ""'--outline""]",missing,,,,,,,,,,,,,,,,,,,
1,biomatch,yaohybrid,0,hycc,"[""--all-variants'"", ""'--outline""]",missing,,,,,,,,,,,,,,,,,,,
2,biomatch,gmwhybrid,0,hycc,"[""--all-variants'"", ""'--outline""]",missing,,,,,,,,,,,,,,,,,,,
3,biomatch,gmwonly,0,hycc,"[""--all-variants'"", ""'--outline""]",missing,,,,,,,,,,,,,,,,,,,
4,biomatch,yaohybrid,0,hycc,['--all-variants'],,[0],0.27461,0.27625,136349,17,0.032529,2.9999999999999997e-05,4.2000000000000004e-05,0.014209,0.131995,0.020675000000000002,0.007847999999999999,0.012461,0.011852999999999999,0.18041,0.17875,[0.48],[0.112296],
5,biomatch,ps_optimized,0,hycc,['--all-variants'],,[0],0.52326,0.5234,150420,66,0.042031,3.1e-05,3.9e-05,0.018743,0.145994,0.021613,0.01274,0.00878,0.020417,0.20679,0.20647,[0.81],[0.159164],
6,biomatch,ps_optimized,0,hycc,"[""--all-variants'"", ""'--outline""]",missing,,,,,,,,,,,,,,,,,,,
7,biomatch,yaoonly,0,hycc,['--all-variants'],,[0],17.55,17.596,3283615,3,0.45931299999999997,4.9000000000000005e-05,5.1e-05,0.209707,0.158836,0.276411,0.0057729999999999995,0.270586,0.182901,0.82787,0.7848,[19.9],[2.628112],
8,biomatch,gmwhybrid,0,hycc,['--all-variants'],,[0],0.31636,0.32393,151394,73,0.044662999999999994,4.4999999999999996e-05,4.4e-05,0.016149,0.13298,0.022595,0.012874,0.009603,0.022068,0.19382,0.18616,[0.54],[0.122016],
9,biomatch,gmwonly,0,hycc,['--all-variants'],,[0],19.518,19.332,3437188,79,1.2922799999999999,4.7e-05,3.5999999999999994e-05,0.737318,0.17506200000000002,0.111998,0.111322,2e-06,1.18028,2.0183,2.204,[23.15],[2.701664],
10,kmeans,yaohybrid,0,hycc,['--all-variants'],,[0],,,,,,,,,,,,,,,,,,"['Process returned with status code 134', ""terminate called after throwing an instance of 'std  out_of_range'   what()   _Map_base  at terminate called after throwing an instance of 'std  out_of_range'   what()   _Map_base  at Command terminated by signal 6 56.09 seconds 4504012 kB Aborted (core dumped)""]"
11,kmeans,yaoonly,0,hycc,"[""--all-variants'"", ""'--outline""]",missing,,,,,,,,,,,,,,,,,,,
12,kmeans,yaohybrid,0,hycc,"[""--all-variants'"", ""'--outline""]",missing,,,,,,,,,,,,,,,,,,,
13,kmeans,ps_optimized,0,hycc,"[""--all-variants'"", ""'--outline""]",missing,,,,,,,,,,,,,,,,,,,
14,kmeans,yaoonly,0,hycc,['--all-variants'],,[0],,,,,,,,,,,,,,,,,,"['Process returned with status code 137', 'Killed Command terminated by signal 9 158.91 seconds 23236964 kB']"
15,kmeans,gmwonly,0,hycc,"[""--all-variants'"", ""'--outline""]",missing,,,,,,,,,,,,,,,,,,,
16,kmeans,gmwhybrid,0,hycc,"[""--all-variants'"", ""'--outline""]",missing,,,,,,,,,,,,,,,,,,,
17,kmeans,gmwonly,0,hycc,['--all-variants'],,[0],,,,,,,,,,,,,,,,,,"['Process returned with status code 137', 'Command terminated by signal 9 72.83 seconds 11648692 kB Killed']"
18,kmeans,gmwhybrid,0,hycc,['--all-variants'],,[0],,,,,,,,,,,,,,,,,,"['Process returned with status code 134', ""terminate called after throwing an instance of 'std  out_of_range'   what()   _Map_base  at Aborted (core dumped) terminate called after throwing an instance of 'std  out_of_range'   what()   _Map_base  at Command terminated by signal 6 56.82 seconds 4466348 kB""]"
19,kmeans,ps_optimized,0,hycc,['--all-variants'],,[0],63.104,63.072,5627422,2966,1.93519,3.1e-05,5.1e-05,0.5710689999999999,0.15953,0.366993,0.189321,0.17230299999999998,1.56833,2.6333,2.6659,[69.49],[5.075096],
