,test_case,minimization_time,input_size,cost_model,variant,module_bundle_time,selection_time,runner,run,server_load_time,server_exec_time,client_load_time,client_exec_time,selection_scheme
0,biomatch,0,256,hycc,,0.0,0.0,CIRCUIT-SIM,0,2.85502,6.60917,,,
1,biomatch,0,256,hycc,,0.0,0.0,CIRCUIT-SIM,1,2.89147,6.56843,,,
2,biomatch,0,256,hycc,,0.0,0.0,ABY-HYCC,2,2.90368,6.63057,,,
3,biomatch,0,256,hycc,,0.0,0.0,ABY-HYCC,0,12.8032,1.1985,11.3896,2.60741,
4,biomatch,0,256,hycc,,0.0,0.0,ABY-HYCC,1,11.5329,1.1739,11.1694,1.53398,
5,biomatch,0,256,hycc,,0.0,0.0,ABY-HYCC,2,12.4159,1.29084,11.003,2.70139,
6,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,0,20.3639,1.38032,20.524,1.21523,yaonly
7,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,1,20.724,1.263,20.6546,1.32907,yaonly
8,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,2,20.7141,1.19287,20.3528,1.55106,yaonly
9,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,0,0.392343,0.320471,0.368685,0.34158,yaohybrid
10,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,1,0.38264,0.348529,0.411564,0.316635,yaohybrid
11,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,2,0.379659,0.337792,0.382817,0.331555,yaohybrid
12,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,0,21.3621,2.30171,21.5919,2.07132,gmwonly
13,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,1,21.5044,4.49427,22.5181,3.4775,gmwonly
14,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,2,21.42,2.5527,21.5715,2.39805,gmwonly
15,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,0,0.411417,0.356152,0.41123,0.352811,gmwhybrid
16,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,1,0.393131,0.361377,0.409946,0.342604,gmwhybrid
17,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,2,0.393417,0.36689,0.434193,0.320551,gmwhybrid
18,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,0,0.598289,0.345149,0.584161,0.355341,ps_optimized
19,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,1,0.622017,0.363602,0.652846,0.332053,ps_optimized
20,biomatch,0,256,hycc,['--all-variants'],0.025964975357055664,2.907304048538208,ABY-HYCC,2,0.670507,0.357802,0.685598,0.340244,ps_optimized
