,selection_scheme,test_case,input_size,num_parts,mutation_level,mutation_step_size,run,cost_model,ilp_cost,op_cost,conv_cost,compile_time,server_exec_time,server_load_time,server_total_time,client_exec_time,client_load_time,client_total_time,num_nodes,avg_partition_size,ilp_time,comb_time,part_time
0,b,biomatch,2048,8,2,2,0,hycc,33463085.056001026,33463085.056001026,0.0,10.71663396,0.0,0.0,0.0,0.0,0.0,0.0,34820.0,4352.0,0.0,0.0,0.0
1,b,biomatch,2048,8,2,2,1,hycc,33463085.056001026,33463085.056001026,0.0,10.484743139,0.0,0.0,0.0,0.0,0.0,0.0,34820.0,4352.0,0.0,0.0,0.0
2,b,biomatch,2048,8,2,2,2,hycc,33463085.056001026,33463085.056001026,0.0,10.426944535,0.0,0.0,0.0,0.0,0.0,0.0,34820.0,4352.0,0.0,0.0,0.0
3,y,biomatch,2048,8,2,2,0,hycc,9171808.255998256,9171808.255998256,0.0,10.642839207,10.9097,7.26887,18.1785,11.0214,7.16106,18.1825,34820.0,4352.0,0.0,0.0,0.0
4,y,biomatch,2048,8,2,2,1,hycc,9171808.255998256,9171808.255998256,0.0,10.615069816,11.6314,7.29627,18.9277,12.0369,6.90124,18.9381,34820.0,4352.0,0.0,0.0,0.0
5,y,biomatch,2048,8,2,2,2,hycc,9171808.255998256,9171808.255998256,0.0,10.503546356,10.7603,7.31855,18.0788,11.2545,6.83184,18.0863,34820.0,4352.0,0.0,0.0,0.0
6,a+b,biomatch,2048,8,2,2,0,hycc,18359613.008002702,14939396.096002772,3420216.911999935,10.741734911,2.14232,0.43647,2.57879,2.1769,0.401445,2.57835,34820.0,4352.0,0.0,0.0,0.0
7,a+b,biomatch,2048,8,2,2,1,hycc,18359613.008002702,14939396.096002772,3420216.91199992,10.772270669,1.9944,0.432978,2.42737,1.99663,0.428851,2.42549,34820.0,4352.0,0.0,0.0,0.0
8,a+b,biomatch,2048,8,2,2,2,hycc,18359613.008002706,14939396.096002772,3420216.911999926,10.726922402,2.18525,0.491009,2.67626,2.24453,0.432278,2.67681,34820.0,4352.0,0.0,0.0,0.0
9,a+y,biomatch,2048,8,2,2,0,hycc,16824018.65999921,6332248.063999869,10491770.595999368,10.553331856,12.4419,7.4151,19.857,11.9419,7.9204,19.8623,34820.0,4352.0,0.0,0.0,0.0
10,a+y,biomatch,2048,8,2,2,1,hycc,16824018.659999292,6332248.063999869,10491770.595999304,10.663918751,12.0874,7.58987,19.6773,12.0277,7.65663,19.6843,34820.0,4352.0,0.0,0.0,0.0
11,a+y,biomatch,2048,8,2,2,2,hycc,16824018.65999917,6332248.063999869,10491770.595999314,10.567173997,12.5711,7.41592,19.987,11.9952,7.99766,19.9928,34820.0,4352.0,0.0,0.0,0.0
12,greedy,biomatch,2048,8,2,2,0,hycc,18864558.348001763,6326448.12800029,12538110.220001608,10.478072077,12.6395,7.4988,20.1383,12.5501,7.59033,20.1405,34820.0,4352.0,0.0,0.0,0.0
13,greedy,biomatch,2048,8,2,2,1,hycc,18864558.348001808,6326448.12800029,12538110.2200016,10.736116565,12.2936,8.11067,20.4043,12.5114,7.89613,20.4075,34820.0,4352.0,0.0,0.0,0.0
14,greedy,biomatch,2048,8,2,2,2,hycc,18864558.3480018,6326448.12800029,12538110.220001485,10.353005398,12.7653,7.58144,20.3468,12.6281,7.7239,20.352,34820.0,4352.0,0.0,0.0,0.0
15,lp,biomatch,2048,8,2,2,0,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.477586239,0.67821,0.354269,1.03248,0.679432,0.35118,1.03061,34820.0,4352.0,8.355938902,0.204425183,0.151102965
16,lp,biomatch,2048,8,2,2,1,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.520418189,0.717662,0.31383,1.03149,0.713725,0.316463,1.03019,34820.0,4352.0,8.265030762,0.194847193,0.15482217499999998
17,lp,biomatch,2048,8,2,2,2,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.740907784,0.695379,0.312178,1.00756,0.673619,0.332526,1.00614,34820.0,4352.0,8.325838984,0.192844684,0.15376599
18,lp+nm,biomatch,2048,8,2,2,0,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.536252685,0.681098,0.377936,1.05903,0.71383,0.344303,1.05813,34820.0,4352.0,13.905938559,0.0,0.154545999
19,lp+nm,biomatch,2048,8,2,2,1,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.506025895,0.70551,0.349524,1.05503,0.705994,0.348225,1.05422,34820.0,4352.0,13.842263133,0.0,0.153185277
20,lp+nm,biomatch,2048,8,2,2,2,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.675692183,0.696179,0.335087,1.03127,0.7183,0.31294,1.03124,34820.0,4352.0,14.020445472,0.0,0.156386582
21,glp,biomatch,2048,8,2,2,0,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.896139505,0.681165,0.337754,1.01892,0.707627,0.311626,1.01925,34820.0,4352.0,262.394179637,0.0,0.0
22,glp,biomatch,2048,8,2,2,1,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.66077998,0.750161,0.366221,1.11638,0.751768,0.363782,1.11555,34820.0,4352.0,268.492247789,0.0,0.0
23,glp,biomatch,2048,8,2,2,2,hycc,7407079.423998631,6380818.431998585,1026260.992000045,10.579679613,0.710808,0.312886,1.02369,0.683277,0.338132,1.02141,34820.0,4352.0,268.693441663,0.0,0.0
