,test_case,minimization_time,input_size,cost_model,variant,module_bundle_time,selection_time,runner,run,server_load_time,server_exec_time,client_load_time,client_exec_time,selection_scheme
0,biomatch,60,2048,hycc,,0.0,0.0,CIRCUIT-SIM,0,20.9066,53.4309,,,
1,biomatch,60,2048,hycc,,0.0,0.0,CIRCUIT-SIM,1,20.9464,54.0167,,,
2,biomatch,60,2048,hycc,,0.0,0.0,ABY-HYCC,2,20.9166,54.009,,,
3,biomatch,60,2048,hycc,,0.0,0.0,ABY-HYCC,0,100.048,22.7368,116.444,6.34127,
4,biomatch,60,2048,hycc,,0.0,0.0,ABY-HYCC,1,114.094,7.34064,108.053,13.3783,
5,biomatch,60,2048,hycc,,0.0,0.0,ABY-HYCC,2,101.508,7.34163,102.453,6.39344,
6,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,0,158.997,5.76679,151.097,13.6639,yaonly
7,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,1,153.054,11.7727,158.737,6.0862,yaonly
8,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,2,154.607,11.5385,159.842,6.30351,yaonly
9,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,0,3.51772,1.0285,3.28581,1.25895,yaohybrid
10,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,1,3.25199,1.03177,3.46457,0.817213,yaohybrid
11,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,2,3.39915,0.79855,3.32823,0.86718,yaohybrid
12,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,0,146.165,15.1799,151.413,9.92903,gmwonly
13,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,1,147.206,13.8247,151.236,9.79152,gmwonly
14,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,2,151.313,10.8245,145.807,16.3284,gmwonly
15,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,0,3.81749,1.25233,3.94663,1.12008,gmwhybrid
16,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,1,3.50226,1.39034,3.80383,1.08553,gmwhybrid
17,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,2,3.70496,1.08844,3.64005,1.15009,gmwhybrid
18,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,0,5.77203,1.52001,6.03546,1.25323,ps_optimized
19,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,1,5.42315,1.77166,6.02784,1.1635,ps_optimized
20,biomatch,60,2048,hycc,['--all-variants'],0.03558182716369629,12.781306743621826,ABY-HYCC,2,5.64968,1.65929,6.13551,1.17148,ps_optimized
